Mission,Spacecraft,Date,Operator,Mission_Type,Outcome,Remarks,Carrier_rocket
1M No.1,1M No.1,10/10/1960,"OKB-1
 Soviet Union",Flyby,Launch failure,Failed to achieve Earth orbit,Molniya
1M No.2,1M No.2,10/14/1960,"OKB-1
 Soviet Union",Flyby,Launch failure,Failed to achieve Earth orbit,Molniya
2MV-4 No.1,2MV-4 No.1,10/24/1962,Soviet Union,Flyby,Launch failure,"Booster stage (""Block L"") disintegrated in LEO",Molniya
Mars 1,"Mars 1
(2MV-4 No.2)",11/1/1962,Soviet Union,Flyby,Spacecraft failure,Communications lost before *first flyby*,Molniya
2MV-3 No.1,2MV-3 No.1,11/4/1962,Soviet Union,Lander,Launch failure,Never left LEO,Molniya
Mariner 3,Mariner 3,11/5/1964,"NASA
 United States",Flyby,Launch failure,Payload fairing failed to separate,Atlas LV-3 Agena-D
Mariner 4,Mariner 4,11/28/1964,"NASA
 United States",Flyby,Successful,*First successful flyby* of Mars on 15 July 1965,Atlas LV-3 Agena-D
Zond 2,"Zond 2
(3MV-4A No.2)",11/30/1964,Soviet Union,Flyby,Spacecraft failure,Communications lost before flyby,Molniya
Mariner 6,Mariner 6,2/25/1969,"NASA
 United States",Flyby,Successful,,Atlas SLV-3C Centaur-D
2M No.521,"2M No.521

(1969A)[4]",3/27/1969,Soviet Union,Orbiter,Launch failure,Failed to achieve Earth orbit,Proton-K/D
Mariner 7,Mariner 7,3/27/1969,"NASA
 United States",Flyby,Successful,,Atlas SLV-3C Centaur-D
2M No.522,"2M No.522

(1969B)[4]",4/2/1969,Soviet Union,Orbiter,Launch failure,Failed to achieve Earth orbit,Proton-K/D
Mariner 8,Mariner 8,5/9/1971,"NASA
 United States",Orbiter,Launch failure,Failed to achieve Earth orbit,Atlas SLV-3C Centaur-D
Kosmos 419,"Kosmos 419
(3MS No.170)",5/10/1971,Soviet Union,Orbiter,Launch failure,Never left LEO; booster stage burn timer set incorrectly,Proton-K/D
Mars 2,"Mars 2
(4M No.171)",5/19/1971,Soviet Union,Orbiter,Successful,"On November 27 it became in short sequence the second spacecraft to orbit 
another planet.[5] Operated for 362 orbits[6]",Proton-K/D
